force,intelligence,agilite,chance,experience,niveau_quete,equipement,fatigue,survie
59.033684,69.415794,46.08076,25.431349,13.7371235,7.07092,49.802437,9.090498,1
41.799545,75.15573,52.962837,69.682915,10.874386,1.1025691,57.142525,30.150803,1
62.06298,30.522717,46.28483,23.306465,24.592535,9.0478325,84.525925,27.629158,1
54.727676,71.58153,33.740356,59.973198,19.123993,8.825577,44.778954,37.9347,1
68.86576,46.850243,51.995747,93.08119,6.504621,3.84941,70.01712,44.760593,1
70.5195,97.55855,67.472244,43.953556,-0.28055906,1.5621424,32.55244,37.510563,1
16.291225,42.206886,98.37145,34.60432,0.75943804,9.253433,5.6936874,26.223476,0
61.543953,35.565933,28.549135,60.88675,10.138241,1.3503852,59.383247,18.179287,1
83.140366,38.23565,29.089252,12.338963,11.018399,5.04537,55.90283,31.137695,1
47.30672,54.977924,82.96547,88.55155,14.624338,8.0198765,77.523865,25.68388,1
78.385155,40.59843,33.33371,98.04667,5.406752,3.8011556,85.68509,39.091328,1
41.24155,78.38516,54.140812,15.374588,12.7130575,5.2846484,78.276184,26.513744,1
51.551167,75.293045,59.69786,72.16787,6.020774,4.303133,50.24163,33.711693,1
54.08891,65.5009,88.646385,79.084335,9.808765,2.154365,51.07739,11.181841,1
52.79302,63.98221,45.22464,18.302662,15.442837,0.7215686,60.20201,4.229,1
97.91145,81.8262,67.59604,40.961147,2.4812973,0.86867046,33.28441,23.8691,1
32.41526,26.014969,44.19366,100.798645,21.03695,3.973168,77.631004,17.17703,1
62.674026,71.20018,31.604292,73.67111,10.757372,6.0342536,77.76931,55.849693,1
91.531906,19.384922,76.43822,62.393936,27.05718,6.9223585,95.25513,55.523846,1
33.69472,32.732605,30.378775,76.84823,0.24771976,6.6374483,4.104946,72.24938,0
74.19655,69.69946,44.115356,20.647827,11.065598,10.081086,64.94453,45.257313,1
56.59369,86.399,29.916813,100.5661,4.5843716,0.42749834,20.531595,21.507698,1
29.980164,18.808369,69.98779,15.381428,0.17652416,8.684141,13.493771,35.657375,0
60.02041,54.16652,69.37752,101.78129,4.5583525,3.685339,60.86092,14.402386,1
54.01305,77.06039,8.153229,57.624775,16.431026,0.60907507,45.32305,89.61415,1
59.14518,62.989914,73.09324,48.154797,4.299104,1.9129565,45.977314,27.444384,1
